date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
31 Mar 2025 6:37:47 pm UTC,24499122212,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,064.20",-371.56,"-2,435.76"
1 Apr 2025 5:43:58 pm UTC,24499122212,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,051.94",-369.35,"-2,421.29"
2 Apr 2025 7:39:19 am UTC,24499122212,Shipping Services,406-1650700-5611542,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-482.62,0,-482.62
2 Apr 2025 7:39:26 am UTC,24499122212,Shipping Services,405-9287053-1495521,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
2 Apr 2025 7:39:36 am UTC,24499122212,Shipping Services,407-3817614-4382752,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
2 Apr 2025 7:39:42 am UTC,24499122212,Shipping Services,403-8067322-0742760,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-482.62,0,-482.62
2 Apr 2025 7:39:45 am UTC,24499122212,Shipping Services,405-9733386-5881101,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-320.96,0,-320.96
2 Apr 2025 7:55:19 am UTC,24499122212,Order,407-3817614-4382752,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Siliguri,WEST BENGAL,734001,"34,284.82",0,0,0,"4,114.18",0,0,-171.42,-34.29,"-2,492.10",0,-71.98,0,"35,629.21"
2 Apr 2025 7:55:55 am UTC,24499122212,Order,403-8067322-0742760,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,ADINAD,KERALA,690542,"39,276.79",0,0,0,"4,713.21",0,0,-196.38,-39.28,"-2,595.41",0,-71.98,0,"41,086.95"
2 Apr 2025 7:55:58 am UTC,24499122212,Order,406-1650700-5611542,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560032,"39,276.79",0,0,0,"4,713.21",0,0,-196.38,-39.28,"-2,595.41",0,-71.98,0,"41,086.95"
2 Apr 2025 7:56:08 am UTC,24499122212,Order,405-9287053-1495521,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,AGARTALA,TRIPURA,799004,"34,284.82",0,0,0,"4,114.18",0,0,-171.42,-34.29,"-2,492.10",0,-71.98,0,"35,629.21"
2 Apr 2025 7:56:19 am UTC,24499122212,Order,405-9733386-5881101,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NEW DELHI,DELHI,110094,"39,276.78",0,0,0,"4,713.22",-98.19,-98.19,0,-39.28,"-2,595.41",0,-71.98,0,"41,086.95"
2 Apr 2025 4:22:26 pm UTC,24499015652,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
2 Apr 2025 4:30:09 pm UTC,24499122212,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,058.26",-370.49,"-2,428.75"
2 Apr 2025 6:48:45 pm UTC,24499015652,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
2 Apr 2025 9:02:34 pm UTC,24499015652,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
2 Apr 2025 11:45:10 pm UTC,24499015652,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-36.64,-36.64
3 Apr 2025 4:06:30 am UTC,24499015652,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
3 Apr 2025 4:12:18 am UTC,24499122212,Shipping Services,406-5388411-3955539,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,482.62,0,482.62
3 Apr 2025 4:26:04 am UTC,24499122212,Refund,406-5388411-3955539,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Suryapet,TELANGANA,508233,"-39,276.79",0,0,0,"-4,713.21",0,0,196.38,0,"2,595.41",0,71.98,0,"-41,126.23"
3 Apr 2025 6:12:48 am UTC,24543395262,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
3 Apr 2025 6:35:20 am UTC,24543395262,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
3 Apr 2025 7:05:01 am UTC,24543429212,Shipping Services,406-1877024-6764330,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Apr 2025 7:05:04 am UTC,24543429212,Shipping Services,402-0401071-1133151,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Apr 2025 7:21:46 am UTC,24543429212,Order,406-1877024-6764330,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,CHENNAI,TAMIL NADU,600070,"34,284.82",0,0,0,"4,114.18",0,0,-171.42,-34.29,"-2,492.10",0,-71.98,0,"35,629.21"
3 Apr 2025 7:21:52 am UTC,24543429212,Order,402-0401071-1133151,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560103,"34,284.82",0,0,0,"4,114.18",0,0,-171.42,-34.29,"-2,492.10",0,-71.98,0,"35,629.21"
3 Apr 2025 8:11:58 am UTC,24543395262,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
3 Apr 2025 9:29:39 am UTC,24543395262,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
3 Apr 2025 11:44:12 am UTC,24543395262,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-44.78,-44.78
3 Apr 2025 2:15:43 pm UTC,24543429212,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,014.84",-362.67,"-2,377.51"
3 Apr 2025 11:45:00 pm UTC,24543429212,Transfer,,,To account ending with: 894,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-4,33,095.68","-4,33,095.68"
4 Apr 2025 8:04:41 am UTC,24543429212,Shipping Services,406-5029245-1541107,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-483.8,0,-483.8
4 Apr 2025 8:20:56 am UTC,24543429212,Order,406-5029245-1541107,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Khandwa,Madhya Pradesh,450001,"39,276.79",0,0,0,"4,713.21",0,0,-196.38,-39.28,"-2,595.41",0,-71.98,0,"41,086.95"
4 Apr 2025 12:20:20 pm UTC,24543429212,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,013.98",-362.52,"-2,376.50"
5 Apr 2025 7:34:45 am UTC,24543429212,Shipping Services,408-6966680-2882759,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-483.8,0,-483.8
5 Apr 2025 7:34:55 am UTC,24543429212,Shipping Services,171-7880868-4918734,,Easy Ship delivery service fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
5 Apr 2025 7:34:55 am UTC,24543429212,Shipping Services,171-7880868-4918734,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-382.32,0,-382.32
5 Apr 2025 7:35:12 am UTC,24543429212,Shipping Services,405-3370611-9131554,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-483.8,0,-483.8
5 Apr 2025 7:35:19 am UTC,24543429212,Shipping Services,405-8940757-7215501,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-483.8,0,-483.8
5 Apr 2025 7:35:19 am UTC,24543429212,Shipping Services,402-0093000-1378764,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-181.72,0,-181.72
5 Apr 2025 7:50:33 am UTC,24543429212,Order,171-7880868-4918734,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,DEHRADUN,UTTARAKHAND,248001,"39,276.79",71.43,0,0,"4,721.78",0,0,-196.74,-39.35,"-2,600.13",0,-71.98,0,"41,161.80"
5 Apr 2025 7:50:37 am UTC,24543429212,Order,405-8940757-7215501,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BIHARSHARIF,BIHAR,803101,"39,276.79",0,0,0,"4,713.21",0,0,-196.38,-39.28,"-2,595.41",0,-71.98,0,"41,086.95"
