date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
31 Jul 2025 11:35:38 pm UTC,25288622282,Transfer,,,To account ending with: 894,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-2,08,520.47","-2,08,520.47"
31 Jul 2025 11:35:43 pm UTC,25288967702,Transfer,,,To account ending with: 894,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-36,759.82","-36,759.82"
1 Aug 2025 9:31:30 am UTC,25288622282,Order,171-8960811-7725141,POC01_B02,Oxy-Med P2 Portable Oxygen Concentrator with 3 years warranty (Double Battery),1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Peruvantham,KERALA,685532,"1,60,714.29",0,0,0,"19,285.71",0,0,-803.57,-160.72,"-10,620.00",0,-118,0,"1,68,297.71"
1 Aug 2025 10:46:05 am UTC,25288622282,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,036.39",-366.55,"-2,402.94"
2 Aug 2025 1:37:12 am UTC,25288622282,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,070.67",-372.72,"-2,443.39"
2 Aug 2025 8:43:06 pm UTC,25288622282,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,041.22",-367.42,"-2,408.64"
3 Aug 2025 3:20:14 pm UTC,25288622282,Order,403-9926741-8989959,Sleepeasy2011,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Amazon,Bengaluru,KARNATAKA,560078,"35,714.29",0,0,0,"4,285.71",0,0,-178.57,-35.72,"-2,596.00",-307.98,-59,0,"36,822.73"
3 Aug 2025 4:30:16 pm UTC,25288622282,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,047.82",-368.61,"-2,416.43"
4 Aug 2025 5:43:51 am UTC,25288622282,Order,405-5794067-9625157,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560099,"40,178.57",0,0,0,"4,821.43",0,0,-200.89,-40.18,"-2,655.00",0,-118,0,"41,985.93"
4 Aug 2025 7:27:22 am UTC,25288622282,Order,408-8168809-0519527,POC01_B02,Oxy-Med P2 Portable Oxygen Concentrator with 3 years warranty (Double Battery),1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NARASARAOPET,ANDHRA PRADESH,522601,"1,60,714.29",0,0,0,"19,285.71",0,0,-803.57,-160.72,"-10,620.00",0,-118,0,"1,68,297.71"
