date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
31 Dec 2024 7:51:01 pm UTC,23940927582,Refund,405-2432413-4989116,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,ALANGUDI,TAMIL NADU,622301,"-38,570.54",0,0,385.71,"-4,582.18",0,0,190.92,0,"2,369.85",0,71.98,0,"-40,134.26"
1 Jan 2025 9:09:25 pm UTC,23940927582,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,282.75",-230.9,"-1,513.65"
2 Jan 2025 7:45:00 am UTC,23986072762,Shipping Services,407-5258890-4253122,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-483.8,0,-483.8
2 Jan 2025 7:45:07 am UTC,23986072762,Shipping Services,407-0235701-4979525,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-483.8,0,-483.8
2 Jan 2025 7:45:39 am UTC,23986292242,Shipping Services,405-7979606-8250705,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-237.18,0,-237.18
2 Jan 2025 7:45:41 am UTC,23986072762,Shipping Services,408-3305914-1281156,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-237.18,0,-237.18
2 Jan 2025 8:00:44 am UTC,23986292242,Order,405-7979606-8250705,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Adilabad,TELANGANA,504001,"30,507.63",0,0,-847.46,"5,338.83",0,0,-148.3,-29.67,"-2,271.44",0,-71.98,0,"32,477.61"
2 Jan 2025 8:01:04 am UTC,23986292242,Order,408-3305914-1281156,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,KOLKATA,WEST BENGAL,700008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Jan 2025 8:01:05 am UTC,23986072762,Order,407-0235701-4979525,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Bihar Sharif,BIHAR,803107,"38,570.54",0,0,0,"4,628.46",0,0,-192.85,-38.58,"-2,548.74",0,-71.98,0,"40,346.85"
2 Jan 2025 8:01:15 am UTC,23986072762,Order,407-5258890-4253122,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Patancheruvu,TELANGANA,502319,"38,570.54",0,0,0,"4,628.46",0,0,-192.85,-38.58,"-2,548.74",0,-71.98,0,"40,346.85"
2 Jan 2025 8:25:53 am UTC,23986072762,Shipping Services,407-4146210-7595568,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-147.5,0,-147.5
2 Jan 2025 8:41:25 am UTC,23986072762,Order,407-4146210-7595568,POC01_B02,Oxy-Med P2 Portable Oxygen Concentrator with 3 years warranty (Double Battery),1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NOIDA,UTTAR PRADESH,201301,"1,60,714.29",0,0,0,"19,285.71",0,0,-803.57,-160.72,"-10,620.00",0,-71.98,0,"1,68,343.73"
2 Jan 2025 9:59:40 am UTC,23986292242,Shipping Services,171-6921350-2589101,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,237.18,0,237.18
2 Jan 2025 10:15:18 am UTC,23986292242,Refund,171-6921350-2589101,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Aurangabad,MAHARASHTRA,431001,"-30,507.63",0,0,0,"-5,491.37",0,0,152.54,0,"2,336.34",0,71.98,0,"-33,438.14"
2 Jan 2025 11:33:02 pm UTC,23986072762,Transfer,,,To account ending with: 894,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-5,71,551.57","-5,71,551.57"
3 Jan 2025 7:23:33 am UTC,23986072762,Shipping Services,407-6863582-6381115,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-237.18,0,-237.18
3 Jan 2025 7:38:45 am UTC,23986072762,Order,407-6863582-6381115,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,HYDERABAD,TELANGANA,500081,"30,507.63",0,0,-847.46,"5,338.83",0,0,-148.3,-29.67,"-2,271.44",0,-71.98,0,"32,477.61"
3 Jan 2025 10:36:31 am UTC,23986072762,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,011.32",-362.04,"-2,373.36"
4 Jan 2025 6:51:11 am UTC,23986072762,Shipping Services,408-8479531-4477900,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-237.18,0,-237.18
4 Jan 2025 7:07:08 am UTC,23986072762,Order,408-8479531-4477900,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KOLKATA,WEST BENGAL,700031,"30,677.12",0,0,0,"5,521.88",0,0,-153.39,-30.68,"-2,349.32",0,-71.98,0,"33,593.63"
4 Jan 2025 7:40:23 am UTC,23986072762,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,010.08",-361.81,"-2,371.89"
4 Jan 2025 8:32:58 pm UTC,23986072762,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,052.49",-369.45,"-2,421.94"
5 Jan 2025 6:38:55 am UTC,23986072762,Shipping Services,408-6511445-9781100,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-230.1,0,-230.1
5 Jan 2025 6:39:11 am UTC,23986072762,Shipping Services,405-6175858-2533907,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-230.1,0,-230.1
5 Jan 2025 6:39:20 am UTC,23986072762,Shipping Services,402-8342929-2317151,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-374.65,0,-374.65
5 Jan 2025 6:39:23 am UTC,23986072762,Shipping Services,171-3040218-9761915,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-476.72,0,-476.72
5 Jan 2025 6:54:29 am UTC,23986072762,Order,405-6175858-2533907,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Guwahati,ASSAM,781021,"30,677.12",0,0,-847.46,"5,369.34",0,0,-149.15,-29.83,"-2,284.42",0,-71.98,0,"32,663.62"
5 Jan 2025 6:54:58 am UTC,23986292242,Order,408-6511445-9781100,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,BALLY,WEST BENGAL,711227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 Jan 2025 6:55:04 am UTC,23986072762,Order,402-8342929-2317151,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NAGROTA,JAMMU & KASHMIR,181221,"38,570.54",0,0,0,"4,628.46",0,0,-192.85,-38.58,"-2,548.74",0,-71.98,0,"40,346.85"
5 Jan 2025 6:55:16 am UTC,23986072762,Order,171-3040218-9761915,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,JAMMALAMADUGU,ANDHRA PRADESH,516434,"38,570.54",0,0,0,"4,628.46",0,0,-192.85,-38.58,"-2,548.74",0,-71.98,0,"40,346.85"
5 Jan 2025 6:35:35 pm UTC,23986072762,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,058.55",-370.54,"-2,429.09"
6 Jan 2025 2:02:21 am UTC,23986072762,Shipping Services,407-0235701-4979525,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,483.8,0,483.8
