date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Jun 2025 1:13:17 am UTC,24851005242,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-50.62,-50.62
1 Jun 2025 1:38:12 am UTC,24851005242,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-32.21,-32.21
1 Jun 2025 11:39:07 am UTC,24893829192,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,073.47",-373.22,"-2,446.69"
1 Jun 2025 9:20:22 pm UTC,24893829192,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,085.10",-195.32,"-1,280.42"
2 Jun 2025 7:24:56 am UTC,24893829192,Shipping Services,407-8114749-3710743,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
2 Jun 2025 7:25:07 am UTC,24893829192,Shipping Services,403-1156748-7229104,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
2 Jun 2025 7:39:47 am UTC,24893829192,Order,403-1156748-7229104,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,MUMBAI,MAHARASHTRA,400053,"35,714.29",0,0,0,"4,285.71",0,0,-178.57,-35.72,"-2,596.00",0,-75.52,0,"37,114.19"
2 Jun 2025 7:39:54 am UTC,24893829192,Order,407-8114749-3710743,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BAREILLY,UTTAR PRADESH,243001,"35,714.29",0,0,0,"4,285.71",0,0,-178.57,-35.72,"-2,596.00",0,-75.52,0,"37,114.19"
2 Jun 2025 10:09:51 am UTC,24893829192,Shipping Services,402-6899057-2749929,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
2 Jun 2025 10:33:57 am UTC,24893829192,Order,402-6899057-2749929,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NEW DELHI,DELHI,110061,"35,714.28",0,0,0,"4,285.72",-89.29,-89.29,0,-35.72,"-2,596.00",0,-75.52,0,"37,114.18"
2 Jun 2025 4:14:15 pm UTC,24893829192,Order,171-4765810-8280334,10 LPM Oxygen Concentrator,Oxy-Med 10 LPM Oxygen Concentrator with 93%(+/-3%) Purity of Oxygen and Dual Flow with 2 years All India Warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NEW DELHI,DELHI,110019,"53,562.50",0,0,0,"6,427.50",-133.91,-133.91,0,-53.57,"-3,539.41",0,-118,0,"56,011.20"
2 Jun 2025 6:42:27 pm UTC,24893829192,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,081.95",-374.75,"-2,456.70"
3 Jun 2025 7:50:32 am UTC,24893829192,Shipping Services,406-1197771-3744332,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
3 Jun 2025 8:05:54 am UTC,24893829192,Order,406-1197771-3744332,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,SATNA,MADHYA PRADESH,485001,"40,178.57",0,0,0,"4,821.43",0,0,-200.89,-40.18,"-2,655.00",0,-75.52,0,"42,028.41"
3 Jun 2025 7:33:53 pm UTC,24893829192,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,022.56",-364.06,"-2,386.62"
4 Jun 2025 2:36:30 pm UTC,24893829192,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,064.81",-371.67,"-2,436.48"
5 Jun 2025 7:55:58 am UTC,24937424562,Shipping Services,408-4766264-3265903,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
5 Jun 2025 7:56:14 am UTC,24893938312,Shipping Services,405-8455093-8825160,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
5 Jun 2025 7:56:36 am UTC,24937424562,Shipping Services,407-5844686-8357937,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
