date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
28 Feb 2025 10:39:52 pm UTC,24327182832,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,024.98",-364.5,"-2,389.48"
1 Mar 2025 7:16:28 am UTC,24327182832,Shipping Services,403-8810419-8129909,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-482.62,0,-482.62
1 Mar 2025 7:16:40 am UTC,24327182832,Shipping Services,403-4004010-3421953,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
1 Mar 2025 7:31:41 am UTC,24327182832,Order,403-4004010-3421953,BPAP_ST-30,Oxy-med AirSmart ST BiPAP Machine with Heated Humidifier and Mask - 3 years warranty (BPAP ST-30),1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BAIRGANIA,BIHAR,843313,"47,312.50",0,0,0,"5,677.50",0,0,-236.56,-47.32,"-3,439.05",0,-71.98,0,"49,195.09"
1 Mar 2025 7:32:48 am UTC,24327182832,Order,403-8810419-8129909,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560064,"39,731.25",0,0,0,"4,767.75",0,0,-198.66,-39.74,"-2,625.44",0,-71.98,0,"41,563.18"
1 Mar 2025 6:35:54 pm UTC,24327182832,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,061.41",-371.05,"-2,432.46"
2 Mar 2025 6:17:05 am UTC,24327182832,Shipping Services,405-8718802-6552318,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-230.1,0,-230.1
2 Mar 2025 6:32:29 am UTC,24327182832,Order,405-8718802-6552318,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Hyderabad,TELANGANA,500028,"34,284.82",0,0,0,"4,114.18",0,0,-171.42,-34.29,"-2,492.10",0,-71.98,0,"35,629.21"
2 Mar 2025 4:37:25 pm UTC,24327182832,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,026.40",-364.75,"-2,391.15"
3 Mar 2025 7:53:23 am UTC,24327182832,Shipping Services,404-9498520-7195504,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Mar 2025 7:53:26 am UTC,24327182832,Shipping Services,402-7962659-1612310,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-274.94,0,-274.94
3 Mar 2025 7:53:37 am UTC,24327182832,Shipping Services,402-5581478-9146751,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-482.62,0,-482.62
3 Mar 2025 7:53:47 am UTC,24327182832,Shipping Services,403-1638122-0050712,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-482.62,0,-482.62
3 Mar 2025 7:54:07 am UTC,24327182832,Shipping Services,403-2843634-7250700,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-482.62,0,-482.62
3 Mar 2025 8:09:30 am UTC,24327182832,Order,402-7962659-1612310,POC01_B02,Oxy-Med P2 Portable Oxygen Concentrator with 3 years warranty (Double Battery),1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KANNUR,KERALA,670511,"1,60,714.29",0,0,0,"19,285.71",0,0,-803.57,-160.72,"-10,620.00",0,-71.98,0,"1,68,343.73"
3 Mar 2025 8:09:30 am UTC,24327182832,Order,403-1638122-0050712,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KANKIPADU,ANDHRA PRADESH,521151,"39,284.82",0,0,0,"4,714.18",0,0,-196.42,-39.29,"-2,595.94",0,-71.98,0,"41,095.37"
3 Mar 2025 8:09:44 am UTC,24327182832,Order,404-9498520-7195504,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560067,"34,284.82",0,0,0,"4,114.18",0,0,-171.42,-34.29,"-2,492.10",0,-71.98,0,"35,629.21"
3 Mar 2025 8:10:04 am UTC,24327182832,Order,402-5581478-9146751,Oxy-Med Mini 5 LPM_M,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KOLLAM,KERALA,691011,"39,284.82",0,0,0,"4,714.18",0,0,-196.42,-39.29,"-2,595.94",0,-71.98,0,"41,095.37"
