date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
31 Aug 2025 6:44:12 pm UTC,25466543012,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,081.74",-374.71,"-2,456.45"
1 Sept 2025 6:10:29 am UTC,25466543012,Shipping Services,407-4174180-9240309,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
1 Sept 2025 6:10:29 am UTC,25466543012,Shipping Services,171-4254500-2763538,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
1 Sept 2025 6:10:36 am UTC,25466543012,Shipping Services,405-3306350-5325158,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
1 Sept 2025 6:10:37 am UTC,25466379672,Shipping Services,406-8488423-0914704,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
1 Sept 2025 6:10:46 am UTC,25466543012,Shipping Services,171-5678487-6625135,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
1 Sept 2025 6:25:43 am UTC,25466543012,Order,405-3306350-5325158,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,JODHPUR,RAJASTHAN,342008,"35,714.29",0,0,0,"4,285.71",0,0,-178.57,-35.72,"-2,596.00",0,-75.52,0,"37,114.19"
1 Sept 2025 6:26:13 am UTC,25466543012,Order,171-4254500-2763538,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KULASEKARAM,TAMIL NADU,629161,"40,177.68",0,0,0,"4,821.32",0,0,-200.89,-40.19,"-2,654.94",0,-75.52,0,"42,027.46"
1 Sept 2025 6:26:16 am UTC,25466543012,Order,407-4174180-9240309,ABPAP,Oxy-med AirSmart Auto BiPAP with Heated Humidifier and Mask - 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,SURAT,GUJARAT,395009,"41,062.50",0,0,0,"4,927.50",0,0,-205.31,-41.07,"-2,984.75",0,-75.52,0,"42,683.35"
1 Sept 2025 6:26:16 am UTC,25466543012,Order,171-5678487-6625135,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,"New perungalathur,Chennai",TAMIL NADU,600063,"35,714.29",0,0,0,"4,285.71",0,0,-178.57,-35.72,"-2,596.00",0,-75.52,0,"37,114.19"
1 Sept 2025 6:30:42 am UTC,25466379672,Order,406-8488423-0914704,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Sasaram,BIHAR,821115,"35,714.29",0,0,0,"4,285.71",0,0,-178.57,-35.73,"-2,596.00",0,-75.52,0,"37,114.18"
1 Sept 2025 9:41:24 am UTC,25466543012,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,053.52",-369.63,"-2,423.15"
1 Sept 2025 9:09:43 pm UTC,25466543012,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,963.38",-353.41,"-2,316.79"
