date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
7 Apr 2025 8:14:04 am UTC,24245293652,Shipping Services,408-1667996-9087515,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
7 Apr 2025 8:14:04 am UTC,24245293652,Shipping Services,405-7447440-8255534,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
7 Apr 2025 8:14:49 am UTC,24245357812,Shipping Services,402-4621005-7137948,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
7 Apr 2025 8:29:11 am UTC,24245293652,Order,408-1667996-9087515,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,JALANDHAR,PUNJAB,144001,240,0,0,0,0,0,0,0,0,-15.58,0,-4.72,0,219.7
7 Apr 2025 8:29:25 am UTC,24245293652,Order,405-7447440-8255534,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,TENALI,ANDHRA PRADESH,522201,240,0,0,0,0,0,0,0,0,-15.58,0,-4.72,0,219.7
7 Apr 2025 8:29:54 am UTC,24245357812,Order,402-4621005-7137948,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,AHMADNAGAR,MAHARASHTRA,414003,240,0,0,0,0,0,0,0,0,-15.58,0,-4.72,0,219.7
8 Apr 2025 6:00:12 pm UTC,24245357812,Service Fee,,,Subscription,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 Apr 2025 9:26:20 am UTC,24245357812,Shipping Services,403-3089400-1240311,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
10 Apr 2025 9:27:10 am UTC,24245293652,Shipping Services,403-0096447-4870761,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
10 Apr 2025 9:42:11 am UTC,24245357812,Order,403-3089400-1240311,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,PHULABANI,ODISHA,762001,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
