date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Aug 2025 10:27:45 am UTC,25296227772,Shipping Services,171-5218948-7250741,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Aug 2025 10:42:30 am UTC,25296227772,Order,171-5218948-7250741,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Agra,UTTAR PRADESH,282010,240,0,0,-12,0,0,0,0,0,0,0,-5.9,0,222.1
1 Aug 2025 12:23:01 pm UTC,25296227772,Shipping Services,404-6699070-7574731,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Aug 2025 12:39:02 pm UTC,25296227772,Order,404-6699070-7574731,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,HYDERABAD,TELANGANA,500049,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 Aug 2025 9:34:23 pm UTC,25296227772,Shipping Services,405-4917588-6023536,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7
1 Aug 2025 9:49:14 pm UTC,25296227772,Refund,405-4917588-6023536,Hand-Feeding-Feedings-Pack-3,"KEAT Bird Feeding Syringe 6ml with Curved Tip | Hand Feeding Tool for Baby Birds, Parrots, Pigeons & Small Pets | Reusable & Easy to Clean Bird Feeder",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,PUNE,MAHARASHTRA,411037,-179,0,0,0,0,0,0,0,0,0,0,5.9,0,-173.1
1 Aug 2025 9:55:08 pm UTC,25296227772,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,804.28",-324.77,"-2,129.05"
2 Aug 2025 12:35:41 am UTC,25295805592,Transfer,,,To account ending with: 384,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-1,787.54","-1,787.54"
2 Aug 2025 12:39:58 am UTC,25296227772,Transfer,,,To account ending with: 384,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-3,643.50","-3,643.50"
2 Aug 2025 10:38:23 am UTC,25296227772,Shipping Services,406-2258412-9140369,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-143.96,0,-143.96
