date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Jul 2025 2:22:45 am UTC,25073054542,Shipping Services,171-7870177-3502748,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7
1 Jul 2025 2:38:12 am UTC,25073054542,Refund,171-7870177-3502748,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,ANKLESHWAR,GUJARAT,393002,-240,0,0,0,0,0,0,0,0,0,0,5.9,0,-234.1
1 Jul 2025 11:13:22 am UTC,25073054542,Shipping Services,408-4276420-6982718,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Jul 2025 11:13:34 am UTC,25073054542,Shipping Services,403-9999663-3403501,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Jul 2025 11:13:44 am UTC,25073054542,Shipping Services,408-9573310-6278701,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Jul 2025 11:13:58 am UTC,25073126492,Shipping Services,406-1193751-7715521,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Jul 2025 11:14:00 am UTC,25073054542,Shipping Services,408-5126277-6180303,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Jul 2025 11:29:06 am UTC,25073054542,Order,408-9573310-6278701,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Ranny,KERALA,689673,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 Jul 2025 11:29:09 am UTC,25073054542,Order,408-4276420-6982718,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,SIPCOT THOOTHUKUDI,TAMIL NADU,628008,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 Jul 2025 11:29:17 am UTC,25073126492,Order,406-1193751-7715521,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KANGRA,HIMACHAL PRADESH,177106,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 Jul 2025 11:29:25 am UTC,25073054542,Order,403-9999663-3403501,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,LUCKNOW,UTTAR PRADESH,226026,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 Jul 2025 11:29:46 am UTC,25073054542,Order,408-5126277-6180303,E7-J9WL-9B1N,"Hand Feeding Formula for All Baby Birds | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parrot. Sunconure Growth Formula |",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,VASAI VIRAR,MAHARASHTRA,401202,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 Jul 2025 9:45:30 pm UTC,25073126492,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,-658.12,-118.46,-776.58
2 Jul 2025 11:43:18 am UTC,25073126492,Shipping Services,408-6567821-4113938,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
