date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Jun 2025 9:26:05 pm UTC,24900943992,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,-885.54,-159.4,"-1,044.94"
2 Jun 2025 7:15:42 am UTC,24900939162,Shipping Services,403-1578119-0317124,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,100.3,0,100.3
2 Jun 2025 7:30:20 am UTC,24900939162,Refund,403-1578119-0317124,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,TIRUPATI,ANDHRA PRADESH,517501,-240,0,0,0,0,0,0,0,0,0,0,5.9,0,-234.1
3 Jun 2025 6:39:37 am UTC,24900943992,Shipping Services,403-7800204-2017115,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
3 Jun 2025 6:40:30 am UTC,24900943992,Shipping Services,403-6691695-2928304,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
3 Jun 2025 6:55:18 am UTC,24900943992,Order,403-7800204-2017115,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BHUBANESWAR,ODISHA,751019,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
3 Jun 2025 6:56:04 am UTC,24900943992,Order,403-6691695-2928304,A5-QFKQ-Y8D7,"KEAT Daily Bird Food - 1 KG | High-Energy Seed Mix for Budgies, Parrots, Cockatiels & Lovebirds | Natural Grain Blend | Healthy, Nutrient-Rich Bird Fe",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,siddapur,KARNATAKA,581355,280,0,0,0,0,0,0,0,0,0,0,-5.9,0,274.1
4 Jun 2025 7:30:24 am UTC,24900943992,Shipping Services,407-3961349-8773101,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-143.96,0,-143.96
4 Jun 2025 7:30:45 am UTC,24900939162,Shipping Services,405-3491662-8605114,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
4 Jun 2025 7:45:39 am UTC,24900939162,Order,405-3491662-8605114,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,JABALPUR,MADHYA PRADESH,482002,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
4 Jun 2025 7:45:50 am UTC,24900943992,Order,407-3961349-8773101,OL-VKFK-35SM,"KEAT Hand Feeding Formula with Syringe for All Baby Birds | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parrot. Sunconur",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KRAL PORA KUPWARA DISTRICT,JAMMU & KASHMIR,193224,399,0,0,0,0,0,0,0,0,-47.08,0,-11.8,0,340.12
