date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 May 2025 5:05:26 am UTC,24683757092,Shipping Services,408-8933463-5585149,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
1 May 2025 5:21:42 am UTC,24683757092,Order,408-8933463-5585149,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,JAUNPUR,UTTAR PRADESH,222001,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
1 May 2025 9:21:48 pm UTC,24683726032,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,-195.98,-35.28,-231.26
2 May 2025 5:29:04 am UTC,24683726032,Shipping Services,407-7107600-7102720,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
2 May 2025 5:29:33 am UTC,24683757092,Shipping Services,405-2818611-3953940,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
2 May 2025 5:44:34 am UTC,24683726032,Order,407-7107600-7102720,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NEW DELHI,DELHI,110009,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
2 May 2025 5:44:40 am UTC,24683757092,Order,405-2818611-3953940,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,NEW DELHI,DELHI,110017,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
3 May 2025 12:32:22 am UTC,24726983002,Transfer,,,To account ending with: 384,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-153.1,-153.1
3 May 2025 12:33:48 am UTC,24726972392,Transfer,,,To account ending with: 384,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,-856.25,-856.25
3 May 2025 5:48:02 am UTC,24726983002,Shipping Services,404-3802924-3988340,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
3 May 2025 5:48:02 am UTC,24726972392,Shipping Services,171-0281390-7307557,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
3 May 2025 5:48:08 am UTC,24726983002,Shipping Services,404-6477379-6758718,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
3 May 2025 6:02:43 am UTC,24726972392,Order,171-0281390-7307557,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Raipur,CHHATTISGARH,493221,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
3 May 2025 6:02:59 am UTC,24726983002,Order,404-3802924-3988340,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,THRIPPUNITHURA,KERALA,682301,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
3 May 2025 6:04:54 am UTC,24726983002,Order,404-6477379-6758718,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,SUAR,UTTAR PRADESH,244924,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
5 May 2025 7:44:48 am UTC,24726972392,Shipping Services,406-0621088-4181167,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
5 May 2025 7:45:08 am UTC,24726983002,Shipping Services,403-8742842-1173925,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
5 May 2025 8:00:29 am UTC,24726972392,Order,406-0621088-4181167,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENAULIM,GOA,403716,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
5 May 2025 8:00:34 am UTC,24726983002,Order,403-8742842-1173925,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,NEW DELHI,DELHI,110093,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
7 May 2025 7:24:24 am UTC,24726972392,Shipping Services,406-0231810-3617100,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
7 May 2025 7:24:48 am UTC,24726983002,Shipping Services,171-5008498-1745136,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-100.3,0,-100.3
7 May 2025 7:39:56 am UTC,24726983002,Order,171-5008498-1745136,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,SAHARANPUR,UTTAR PRADESH,247001,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
7 May 2025 7:40:25 am UTC,24726972392,Order,406-0231810-3617100,2I-2UOE-E5XV,"KEAT Hand Feeding Formula for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food For Cockatiel, Lovebirds, Parrot. Sunconure",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NEW DELHI,DELHI,110027,240,0,0,0,0,0,0,0,0,0,0,-5.9,0,234.1
