date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
31 Oct 2025 10:53:28 pm UTC,25882500312,Shipping Services,405-1013581-8433904,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7
31 Oct 2025 11:08:25 pm UTC,25882500312,Refund,405-1013581-8433904,E7-J9WL-9B1N,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,delhi,DELHI,110041,-240,0,0,0,0,0,0,0,0,0,0,7.08,0,-232.92
1 Nov 2025 12:44:14 am UTC,25882200532,Transfer,,,To account ending with: 384,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,-605.46,-605.46
1 Nov 2025 8:45:48 am UTC,25882500312,Shipping Services,406-8011790-0858751,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Nov 2025 8:46:02 am UTC,25882200532,Shipping Services,406-1610359-3847560,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
1 Nov 2025 9:01:23 am UTC,25882500312,Order,406-8011790-0858751,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,PURANPUR,UTTAR PRADESH,262122,240,0,0,-24,0,0,0,0,0,0,0,-7.08,0,208.92
1 Nov 2025 9:01:33 am UTC,25882200532,Order,406-1610359-3847560,Calcium_Granules,"Natural Calcium Granules for All Birds 250 Grams | Calcium Granules for Parrots, Parakeets, Cockatiels, Pigeons Little Cage Birds, Budgerigars, Lovebi",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,New Delhi,DELHI,110045,180,0,0,0,0,0,0,0,0,0,0,-7.08,0,172.92
1 Nov 2025 4:08:25 pm UTC,25882500312,Shipping Services,171-0358131-0844367,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7
1 Nov 2025 4:22:45 pm UTC,25882500312,Refund,171-0358131-0844367,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,JAMMU,JAMMU & KASHMIR,181111,-239,0,0,0,0,0,0,0,0,0,0,7.08,0,-231.92
1 Nov 2025 10:23:17 pm UTC,25882200532,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,580.54",-284.5,"-1,865.04"
2 Nov 2025 10:47:44 am UTC,25882500312,Refund,171-1403824-8284337,Hand-Feeding-Feedings-Pack-4,"KEAT Bird Feeding Syringe 6ml with Curved Tip | Hand Feeding Tool for Birds, Parrots, Pigeons, Lovebirds & Small Pets | Reusable, Durable & Easy to Cl",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,COIMBATORE,TAMIL NADU,641007,-199,0,0,0,0,0,0,0,0,-53.1,0,7.08,0,-245.02
3 Nov 2025 10:24:01 am UTC,25882200532,Shipping Services,407-0044974-1824342,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
3 Nov 2025 10:39:01 am UTC,25882200532,Order,407-0044974-1824342,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BHARATPUR,RAJASTHAN,321001,240,0,0,0,0,0,0,0,0,0,0,-7.08,0,232.92
3 Nov 2025 11:49:03 am UTC,25882200532,Shipping Services,404-7892195-8092357,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-71.98,0,-71.98
3 Nov 2025 11:49:06 am UTC,25882200532,Shipping Services,404-1816834-8610763,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-71.98,0,-71.98
3 Nov 2025 11:49:13 am UTC,25882200532,Shipping Services,404-0245522-9729963,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-71.98,0,-71.98
3 Nov 2025 12:04:57 pm UTC,25882200532,Order,404-0245522-9729963,E7-J9WL-9B1N,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Modinagar,UTTAR PRADESH,201201,240,0,0,0,0,0,0,0,0,0,0,-7.08,0,232.92
3 Nov 2025 12:05:33 pm UTC,25882200532,Order,404-7892195-8092357,Calcium_Granules,"Natural Calcium Granules for All Birds 250 Grams | Calcium Granules for Parrots, Parakeets, Cockatiels, Pigeons Little Cage Birds, Budgerigars, Lovebi",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,LUDHIANA,PUNJAB,141001,180,0,0,-9,0,0,0,0,0,0,0,-7.08,0,163.92
3 Nov 2025 12:05:36 pm UTC,25882200532,Order,404-1816834-8610763,Hand-Feeding-Feedings-Pack-4,"KEAT Bird Feeding Syringe 6ml with Curved Tip | Hand Feeding Tool for Birds, Parrots, Pigeons, Lovebirds & Small Pets | Reusable, Durable & Easy to Cl",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,ELURU,ANDHRA PRADESH,534007,199,0,0,0,0,0,0,0,0,0,0,-7.08,0,191.92
4 Nov 2025 7:39:30 am UTC,25882200532,Shipping Services,407-7741051-5456362,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
