date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Oct 2025 7:32:49 am UTC,25651711182,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,000.36",-360.06,"-2,360.42"
1 Oct 2025 5:04:07 pm UTC,25651711182,Shipping Services,402-3794807-1800307,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7
1 Oct 2025 5:16:18 pm UTC,25651711182,Refund,402-3794807-1800307,E7-J9WL-9B1N,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BANAGANAPALLE,ANDHRA PRADESH,518124,-228,0,0,0,0,0,0,0,0,0,0,7.08,0,-220.92
3 Oct 2025 10:07:38 am UTC,25699100022,Shipping Services,171-0764684-5394736,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
3 Oct 2025 10:23:32 am UTC,25699100022,Order,171-0764684-5394736,E7-J9WL-9B1N,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KARORAN,PUNJAB,160103,240,0,0,0,0,0,0,0,0,0,0,-7.08,0,232.92
3 Oct 2025 11:57:36 am UTC,25699472712,Shipping Services,404-7972257-5333926,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
3 Oct 2025 11:57:45 am UTC,25699472712,Shipping Services,408-5688562-2957164,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
3 Oct 2025 12:12:32 pm UTC,25699472712,Order,408-5688562-2957164,Calcium_Granules,"Natural Calcium Granules for All Birds 250 Grams | Calcium Granules for Parrots, Parakeets, Cockatiels, Pigeons Little Cage Birds, Budgerigars, Lovebi",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,PANCHGANI,MAHARASHTRA,412805,167.4,0,0,0,0,0,0,0,0,0,0,-7.08,0,160.32
3 Oct 2025 12:12:35 pm UTC,25699472712,Order,404-7972257-5333926,E7-J9WL-9B1N,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,PATIALA,PUNJAB,147002,240,0,0,0,0,0,0,0,0,0,0,-7.08,0,232.92
4 Oct 2025 12:41:58 am UTC,25699472712,Transfer,,,To account ending with: 384,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-522.4,-522.4
4 Oct 2025 5:16:23 pm UTC,25699100022,Shipping Services,408-2334404-6465108,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7
4 Oct 2025 5:31:09 pm UTC,25699100022,Refund,408-2334404-6465108,Hand-Feeding-Feedings-Pack-2,"KEAT Bird Feeding Syringe 6ml with Curved Tip | Hand Feeding Tool for Birds, Parrots, Pigeons & Small Pets | Reusable & Easy to Clean Bird Feeder",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Rewari,HARYANA,123401,-149,0,0,0,0,0,0,0,0,0,0,7.08,0,-141.92
