date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Sept 2025 10:07:32 pm UTC,25473764922,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,560.01",-280.8,"-1,840.81"
2 Sept 2025 10:37:44 am UTC,25473571312,Shipping Services,407-1917344-3288316,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-71.98,0,-71.98
2 Sept 2025 10:37:54 am UTC,25473764922,Shipping Services,402-1125471-2409109,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-95.58,0,-95.58
2 Sept 2025 10:38:19 am UTC,25473571312,Shipping Services,408-0384041-6281924,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-71.98,0,-71.98
2 Sept 2025 10:53:34 am UTC,25473571312,Order,408-0384041-6281924,Hand-Feeding-Feedings-Pack-4,"KEAT Bird Feeding Syringe 6ml with Curved Tip | Hand Feeding Tool for Baby Birds, Parrots, Pigeons & Small Pets | Reusable & Easy to Clean Bird Feeder",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Udaipur,TRIPURA,799120,199,0,0,0,0,0,0,0,0,0,0,-5.9,0,193.1
2 Sept 2025 10:53:50 am UTC,25473571312,Order,407-1917344-3288316,Hand-Feeding-Feedings-Pack-2,"KEAT Bird Feeding Syringe 6ml with Curved Tip | Hand Feeding Tool for Baby Birds, Parrots, Pigeons & Small Pets | Reusable & Easy to Clean Bird Feeder",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Nashik,MAHARASHTRA,422006,149,0,0,0,0,0,0,0,0,0,0,-5.9,0,143.1
2 Sept 2025 10:54:19 am UTC,25473764922,Order,402-1125471-2409109,2I-2UOE-E5XV,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 250 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,HYDERABAD,TELANGANA,500072,240,0,0,-12,0,0,0,0,0,0,0,-5.9,0,222.1
3 Sept 2025 9:42:02 am UTC,25473571312,Shipping Services,407-3203045-7881117,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-143.96,0,-143.96
3 Sept 2025 9:42:18 am UTC,25473571312,Shipping Services,403-1756871-1062732,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
3 Sept 2025 9:57:55 am UTC,25473571312,Order,407-3203045-7881117,Handfeeding_Formula_600_G,"KEAT Hand Feeding Formula with Syringe for All Baby Birds - 600 Gram | Natural Bird Feeding | Hand Rearing Powder Food for Cockatiel, Lovebirds, Parro",1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,AMRAVATI,MAHARASHTRA,444814,399,0,0,0,0,0,0,0,0,-54.15,0,-11.8,0,333.05
