date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Feb 2025 9:04:24 am UTC,24154052882,Shipping Services,404-2239600-8997132,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
1 Feb 2025 9:20:04 am UTC,24154052882,Order,404-2239600-8997132,ABPAP,Oxy-med AirSmart Auto BiPAP with Heated Humidifier and Mask - 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,KARIMNAGAR,TELANGANA,505001,"41,062.50",0,0,0,"4,927.50",0,0,-205.31,-41.07,"-2,984.75",0,-71.98,0,"42,686.89"
1 Feb 2025 9:32:36 am UTC,24154052882,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,001.82",-360.33,"-2,362.15"
1 Feb 2025 9:07:23 pm UTC,24154052882,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,499.74",-269.95,"-1,769.69"
2 Feb 2025 7:26:49 pm UTC,24154052882,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,041.55",-367.48,"-2,409.03"
3 Feb 2025 7:30:58 am UTC,24154052882,Shipping Services,403-9834973-6033151,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Feb 2025 7:31:11 am UTC,24154052882,Shipping Services,402-2103641-2664355,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Feb 2025 7:31:18 am UTC,24154052882,Shipping Services,171-8413041-3289966,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Feb 2025 7:31:45 am UTC,24154052882,Shipping Services,402-1006779-6249133,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-236,0,-236
3 Feb 2025 7:46:14 am UTC,24154052882,Order,402-2103641-2664355,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,SIBSAGAR,ASSAM,785640,"31,778.81",0,0,0,"5,720.19",0,0,-158.89,-31.78,"-2,433.69",0,-71.98,0,"34,802.66"
3 Feb 2025 7:46:39 am UTC,24154052882,Order,402-1006779-6249133,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Kolkata,WEST BENGAL,700059,"31,778.81",0,0,0,"5,720.19",0,0,-158.89,-31.78,"-2,433.69",0,-71.98,0,"34,802.66"
3 Feb 2025 7:46:42 am UTC,24154052882,Order,403-9834973-6033151,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BIDAR,KARNATAKA,585401,"31,778.81",0,0,0,"5,720.19",0,0,-158.89,-31.78,"-2,433.69",0,-71.98,0,"34,802.66"
