date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
30 Apr 2025 6:32:45 pm UTC,24586174892,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-50.62,-50.62
30 Apr 2025 6:32:54 pm UTC,24586174892,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-32.21,-32.21
30 Apr 2025 7:43:26 pm UTC,24586174892,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-50.62,-50.62
30 Apr 2025 8:09:47 pm UTC,24586174892,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-32.21,-32.21
30 Apr 2025 9:05:33 pm UTC,24586174892,Adjustment,,,Other,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-32.21,-32.21
1 May 2025 12:48:51 pm UTC,24719912042,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,031.75",-365.72,"-2,397.47"
1 May 2025 9:25:47 pm UTC,24719912042,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,-963.37,-173.41,"-1,136.78"
1 May 2025 11:31:53 pm UTC,24719912042,Transfer,,,To account ending with: 894,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-7,43,343.28","-7,43,343.28"
2 May 2025 7:16:05 am UTC,24719912042,Shipping Services,406-4632786-5509111,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
2 May 2025 7:16:08 am UTC,24719912042,Shipping Services,171-3467259-9182756,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
2 May 2025 7:16:22 am UTC,24719912042,Shipping Services,408-0991530-0951564,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
2 May 2025 7:31:47 am UTC,24719912042,Order,406-4632786-5509111,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,ROORKEE,UTTARAKHAND,247667,"34,284.82",0,0,0,"4,114.18",0,0,-171.63,-34.33,"-2,492.10",0,-75.52,0,"35,625.42"
2 May 2025 7:31:58 am UTC,24719912042,Order,408-0991530-0951564,AutoCPAP_M,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Pune,Maharashtra,411040,"34,284.82",0,0,0,"4,114.18",0,0,-171.63,-34.33,"-2,492.10",0,-75.52,0,"35,625.42"
