date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
31 Oct 2025 6:46:41 pm UTC,25874496132,Shipping Services,408-5449305-2468350,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
31 Oct 2025 10:04:09 pm UTC,25874496132,Shipping Services,404-8782055-5609932,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
1 Nov 2025 9:23:01 pm UTC,25874496132,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,581.43",-284.66,"-1,866.09"
2 Nov 2025 4:32:01 am UTC,25874496132,Order,402-6047206-4073154,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Dehradun,UTTARAKHAND,248001,"35,228.57",0,0,0,"1,761.43",0,0,-176.14,-35.23,"-2,400.65",0,-76.7,0,"34,301.28"
2 Nov 2025 4:51:23 am UTC,25874496132,Refund,402-6047206-4073154,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,Dehradun,UTTARAKHAND,248001,"-35,228.57",0,0,0,"-1,761.43",0,0,176.14,0,"2,247.25",0,76.7,0,"-34,489.91"
2 Nov 2025 6:47:52 am UTC,25874496132,Order,403-0184340-9136350,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,SAHARANPUR,UTTAR PRADESH,247001,"35,228.57",0,0,0,"1,761.43",0,0,-176.14,-35.23,"-2,400.65",0,-76.7,0,"34,301.28"
2 Nov 2025 6:47:59 pm UTC,25874496132,Shipping Services,402-6047206-4073154,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-285.56,0,-285.56
3 Nov 2025 12:04:23 am UTC,25874496132,Order,408-0756466-2961929,ABPAP,Oxy-med AirSmart Auto BiPAP with Heated Humidifier and Mask - 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,JAIPUR,RAJASTHAN,302012,"40,466.67",0,0,0,"2,023.33",0,0,-202.33,-40.47,"-2,757.60",0,-76.7,0,"39,412.90"
3 Nov 2025 9:24:10 am UTC,25874496132,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,039.27",-367.07,"-2,406.34"
3 Nov 2025 6:47:36 pm UTC,25874496132,Shipping Services,403-0184340-9136350,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-285.56,0,-285.56
20 Oct 2025 8:47:59 pm UTC,25874496132,Shipping Services,402-4805444-4403567,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,497.96,0,497.96
3 Nov 2025 10:48:00 pm UTC,25874496132,Shipping Services,408-0756466-2961929,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-285.56,0,-285.56
3 Nov 2025 10:53:08 pm UTC,25874496132,Refund,402-4805444-4403567,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,NTPC SIMHADRI TOWNSHIP,ANDHRA PRADESH,531020,"-39,428.57",0,0,0,"-1,971.43",0,0,197.14,0,"2,442.60",0,76.7,0,"-38,683.56"
3 Nov 2025 11:12:53 pm UTC,25874496132,Order,406-2967425-1006726,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,moga,PUNJAB,142053,"35,228.57",0,0,0,"1,761.43",0,0,-176.14,-35.24,"-2,400.65",0,-76.7,0,"34,301.27"
3 Nov 2025 11:28:26 pm UTC,25874496132,Shipping Services,406-2967425-1006726,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-285.56,0,-285.56
