date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Oct 2025 9:33:32 pm UTC,25642718792,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-1,793.01",-322.74,"-2,115.75"
2 Oct 2025 11:33:34 pm UTC,25691030532,Transfer,,,To account ending with: 894,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-4,84,769.17","-4,84,769.17"
3 Oct 2025 11:39:45 am UTC,25691030532,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,035.06",-366.31,"-2,401.37"
5 Oct 2025 5:37:14 am UTC,25691030532,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,003.32",-360.6,"-2,363.92"
5 Oct 2025 5:25:38 pm UTC,25691030532,Refund,406-1487338-6119530,Sleepeasy2011_MFN,Oxy-Med SleepEasy AutoCPAP Machine with Heated Humidifier and Mask | Cpap Machine for Sleep Apnea with 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,HYDERABAD,TELANGANA,500016,"-35,714.29",0,0,0,"-4,285.71",0,0,178.57,0,"2,442.60",0,76.7,0,"-37,302.13"
6 Oct 2025 7:22:10 pm UTC,25691030532,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,026.06",-364.69,"-2,390.75"
7 Oct 2025 2:57:27 am UTC,25596638932,FBA Inventory Fee,,,FBA storage fee,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-17,-17
7 Oct 2025 8:55:56 am UTC,25691030532,Order,404-2671740-2865122,ABPAP,Oxy-med AirSmart Auto BiPAP with Heated Humidifier and Mask - 3 years warranty,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,HYDERABAD,TELANGANA,500018,"43,800.00",0,0,0,"2,190.00",0,0,-219,-43.89,"-2,984.75",0,-76.7,0,"42,665.66"
7 Oct 2025 6:53:46 pm UTC,25691030532,Service Fee,406-0291606-5745952,,Order Cancellation Charge,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,401.24",0,"-2,401.24"
7 Oct 2025 8:05:12 pm UTC,25691030532,Shipping Services,404-2671740-2865122,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-224.2,0,-224.2
